#carbons/molecule,#hydrogens/molecule,# valence electrons / molecule,#bonds / molecule,#total particles/molecule,bonds/particle,molecular (nuclear) weight,entropy S (298K) (J/mol/K),entropy S (298K) (J/g/K),formation entropy Sf (298K) (J/mol/K),formation entropy Sf (298K) (J/g/K),formation enthalpy (298K) (kJ/mol),formation enthalpy (298K) (kJ/g),formation Gibbs (298K) (kJ/mol) (dG = dH – TdS),formation Gibbs (298K) (kJ/g) (dG = dH – TdS),formation free entropy (298K) (J/mol/K),formation free entropy (298K) (J/g/K),Standard molar entropy / mol of bonds (J / mol / K),standard molar entropy of formation per mol of bonds (298K) (J/mol/K),standard molar enthalpy of formation / mol of bonds (298K) (kJ/mol),standard molar free entropy of formation / mol of bonds (298K) (J/mol/K),standard molar entropy / mol of valence electrons (298K) (J/mol/K),Standard molar molar entropy of formation / mol of valence electrons (298K) (J/mol/K),Standard molar free entropy of formation per mol of valence electrons (298K) (J/mol/K),Standard molar enthalpy of formation / mol of valence electrons (298K) (kJ/mol),standard molar entropy / carbons (298K) (J/mol/K),standard molar entropy of formation / mol of carbon atoms (J/mol/K),standard molar enthalpy of formation / mol of carbon atoms (298K) (kJ/mol),Standard molar free entropy of formation / mol of carbon atoms (298K) (J/mol/K),standard molar entropy / mol of particles (298K) (J/mol/K),standard molar entropy of formation / mol of particles (298K) (J/mol/K),standard molar enthalpy of formation / mol of particles (298K) (kJ/mol),Standard molar free entropy of formation / mol of particles (298K) (J/mol/K),standard molar entropy / molar of hydrogen atoms (J/mol/K) (298K),standard molar entropy of formation / mol of hydrogen atoms (J/mol/K) (298K),standard molar enthalpy of formation / mol of hydrogen atoms,standard molar free entropy of formation / mol of hydrogen atoms,standard molar entropy / mol / nuclear weight (J / g / K),standard molar entropy of formation / mol / nuclear weight  (J / g / K),standard molar enthalpy of formation / mol / nuclear weight (kJ / g / K),standard molar free entropy of formation / mol / nuclear weight (J / g / K)
14,10,66,33,272,0.1213235294,178.24,424.5,2.38162028725314,-1.992,-0.0111759425493716,30.8,0.172800718132855,31.393616,0.176131149012567,105.3477047,0.591044124214542,12.86363636,-0.06036363636,0.9333333333,3.192354688,6.431818182,-0.03018181818,1.596177344,0.4666666667,30.32142857,-0.1422857143,2.2,7.52483605,1.560661765,-0.007323529412,0.1132352941,0.3873077379,42.45,-0.1992,3.08,10.53477047,42.45,-0.1992,3.08,10.53477047
14,10,66,33,272,0.1213235294,178.24,391.7,2.1975987432675,-34.792,-0.195197486535009,28.3,0.158774685816876,38.668016,0.216943536804309,129.758443,0.727998445915619,11.86969697,-1.05430303,0.8575757576,3.932074029,5.934848485,-0.5271515152,1.966037014,0.4287878788,27.97857143,-2.485142857,2.021428571,9.268460211,1.440073529,-0.1279117647,0.1040441176,0.4770530991,39.17,-3.4792,2.83,12.9758443,39.17,-3.4792,2.83,12.9758443
14,10,66,33,272,0.1213235294,178.24,398.5,2.23574955116697,-27.992,-0.157046678635548,28.3,0.158774685816876,36.641616,0.205574596050269,122.958443,0.689847638016158,12.07575758,-0.8482424242,0.8575757576,3.726013423,6.037878788,-0.4241212121,1.863006711,0.4287878788,28.46428571,-1.999428571,2.021428571,8.782745925,1.465073529,-0.1029117647,0.1040441176,0.4520530991,39.85,-2.7992,2.83,12.2958443,39.85,-2.7992,2.83,12.2958443
14,9,65,32,270,0.1185185185,177.23,408.6,2.30547875641821,-17.892,-0.100953563166507,28.2,0.159115273937821,33.531816,0.18919943576144,112.5228725,0.634897435535745,12.76875,-0.559125,0.88125,3.516339765,6.286153846,-0.2752615385,1.731121115,0.4338461538,29.18571429,-1.278,2.014285714,8.037348035,1.513333333,-0.06626666667,0.1044444444,0.4167513796,45.4,-1.988,3.133333333,12.50254139,45.4,-1.988,3.133333333,12.50254139
16,10,74,37,308,0.1201298701,202.26,454.1,2.24513003065361,27.608,0.136497577375655,34.2,0.169089291011569,25.972816,0.128413012953624,87.15710067,0.430916150845447,12.27297297,0.7461621622,0.9243243243,2.355597315,6.136486486,0.3730810811,1.177798658,0.4621621622,28.38125,1.7255,2.1375,5.447318792,1.474350649,0.08963636364,0.111038961,0.2829775996,45.41,2.7608,3.42,8.715710067,45.41,2.7608,3.42,8.715710067
16,11,75,37,310,0.1193548387,203.27,455.9,2.24282973385153,29.408,0.144674570767944,34.4,0.169233039799282,25.636416,0.126120017710434,86.02824161,0.423221535937423,12.32162162,0.7948108108,0.9297297297,2.325087611,6.078666667,0.3921066667,1.147043221,0.4586666667,28.49375,1.838,2.15,5.376765101,1.470645161,0.09486451613,0.1109677419,0.2775104568,41.44545455,2.673454545,3.127272727,7.820749237,41.44545455,2.673454545,3.127272727,7.820749237
16,10,74,37,308,0.1201298701,202.26,402.9,1.99199050726787,-23.592,-0.116641946010086,30.1,0.148818352615446,37.130416,0.183577652526451,124.5987114,0.616032390981905,10.88918919,-0.6376216216,0.8135135135,3.367532741,5.444594595,-0.3188108108,1.68376637,0.4067567568,25.18125,-1.4745,1.88125,7.787419463,1.308116883,-0.0765974026,0.09772727273,0.4045412708,40.29,-2.3592,3.01,12.45987114,40.29,-2.3592,3.01,12.45987114
18,12,84,42,348,0.1206896552,228.3,448.2,1.96320630749014,21.708,0.0950854139290407,35.6,0.155935173017959,29.131016,0.127599719667105,97.75508725,0.428186978756023,10.67142857,0.5168571429,0.8476190476,2.327502077,5.335714286,0.2584285714,1.163751039,0.4238095238,24.9,1.206,1.977777778,5.43083818,1.287931034,0.06237931034,0.1022988506,0.2809054231,37.35,1.809,2.966666667,8.146257271,37.35,1.809,2.966666667,8.146257271
18,12,84,42,348,0.1206896552,228.3,456.5,1.99956197985107,30.008,0.131441086289969,35.7,0.156373193166886,26.757616,0.117203749452475,89.79065772,0.393301172667543,10.86904762,0.7144761905,0.85,2.137872803,5.43452381,0.3572380952,1.068936401,0.425,25.36111111,1.667111111,1.983333333,4.988369873,1.311781609,0.08622988506,0.1025862069,0.2580191314,38.04166667,2.500666667,2.975,7.48255481,38.04166667,2.500666667,2.975,7.48255481
16,9,73,36,306,0.1176470588,201.25,419.8,2.08596273291926,-6.692,-0.0332521739130435,30,0.149068322981366,31.994216,0.158977470807453,107.3631409,0.533481445465839,11.66111111,-0.1858888889,0.8333333333,2.982309471,5.750684932,-0.09167123288,1.470727958,0.4109589041,26.2375,-0.41825,1.875,6.710196309,1.371895425,-0.02186928105,0.09803921569,0.3508599377,46.64444444,-0.7435555556,3.333333333,11.92923788,46.64444444,-0.7435555556,3.333333333,11.92923788
16,10,74,37,308,0.1201298701,202.26,422,2.08642341540591,-4.492,-0.0222090378720459,30.8,0.152279244536735,32.138616,0.158897537822605,107.8477047,0.533213214179769,11.40540541,-0.1214054054,0.8324324324,2.91480283,5.702702703,-0.0607027027,1.457401415,0.4162162162,26.375,-0.28075,1.925,6.740481544,1.37012987,-0.01458441558,0.1,0.3501548854,42.2,-0.4492,3.08,10.78477047,42.2,-0.4492,3.08,10.78477047
16,9,73,36,306,0.1176470588,201.25,427.2,2.12273291925466,0.708,0.00351801242236025,30.7,0.152546583850932,30.489016,0.151498216149068,102.3121342,0.50838327552795,11.86666667,0.01966666667,0.8527777778,2.842003729,5.852054795,0.009698630137,1.401536085,0.4205479452,26.7,0.04425,1.91875,6.394508389,1.396078431,0.00231372549,0.1003267974,0.3343533798,47.46666667,0.07866666667,3.411111111,11.36801491,47.46666667,0.07866666667,3.411111111,11.36801491
18,10,82,41,344,0.1191860465,226.28,467,2.06381474279654,40.508,0.179017146897649,36.6,0.161746508750221,24.528616,0.108399398974722,82.31079195,0.363756372414707,11.3902439,0.988,0.8926829268,2.007580291,5.695121951,0.494,1.003790146,0.4463414634,25.94444444,2.250444444,2.033333333,4.572821775,1.35755814,0.117755814,0.1063953488,0.239275558,46.7,4.0508,3.66,8.231079195,46.7,4.0508,3.66,8.231079195
18,11,83,41,346,0.1184971098,227.29,472.3,2.07796207488231,45.808,0.201539882968894,36.7,0.161467728452638,23.049216,0.101408843327907,77.34636242,0.340298131989969,11.5195122,1.117268293,0.8951219512,1.886496644,5.690361446,0.5519036145,0.9318838845,0.4421686747,26.23888889,2.544888889,2.038888889,4.297020134,1.365028902,0.1323930636,0.1060693642,0.2235444,42.93636364,4.164363636,3.336363636,7.031487492,42.93636364,4.164363636,3.336363636,7.031487492
18,10,82,41,344,0.1191860465,226.28,433,1.91355842319251,6.508,0.0287608272936185,32.7,0.144511225030935,30.760616,0.135940498497437,103.2235436,0.456176169347711,10.56097561,0.1587317073,0.7975609756,2.517647405,5.280487805,0.07936585366,1.258823703,0.3987804878,24.05555556,0.3615555556,1.816666667,5.734641312,1.25872093,0.01891860465,0.09505813953,0.3000684408,43.3,0.6508,3.27,10.32235436,43.3,0.6508,3.27,10.32235436
12,10,58,29,236,0.1228813559,154.22,391.7,2.53987809622617,-34.792,-0.225599792504215,26.9,0.17442614446894,37.268016,0.241654882635197,125.0604564,0.81092242510699,13.50689655,-1.199724138,0.9275862069,4.31242953,6.753448276,-0.599862069,2.156214765,0.4637931034,32.64166667,-2.899333333,2.241666667,10.4217047,1.659745763,-0.1474237288,0.1139830508,0.529917188,39.17,-3.4792,2.69,12.50604564,39.17,-3.4792,2.69,12.50604564
12,9,57,28,234,0.1196581197,153.21,401.1,2.6179753279812,-25.392,-0.165733307225377,26.8,0.174923307878076,34.366816,0.224311833431238,115.3248859,0.752724273219764,14.325,-0.9068571429,0.9571428571,4.118745925,7.036842105,-0.4454736842,2.023243612,0.4701754386,33.425,-2.116,2.233333333,9.610407159,1.714102564,-0.1085128205,0.1145299145,0.4928413928,44.56666667,-2.821333333,2.977777778,12.81387621,44.56666667,-2.821333333,2.977777778,12.81387621
20,12,92,46,384,0.1197916667,252.32,469.2,1.85954343690552,42.708,0.16926125554851,38,0.150602409638554,25.273016,0.100162555485098,84.80877852,0.336115957989854,10.2,0.9284347826,0.8260869565,1.843669098,5.1,0.4642173913,0.9218345492,0.4130434783,23.46,2.1354,1.9,4.240438926,1.221875,0.11121875,0.09895833333,0.2208561941,39.1,3.559,3.166666667,7.06739821,39.1,3.559,3.166666667,7.06739821
24,12,108,54,456,0.1184210526,300.36,472,1.57144759621787,45.508,0.151511519509921,41.2,0.137168730856306,27.638616,0.0920182980423492,92.74703356,0.308786235051272,8.740740741,0.8427407407,0.762962963,1.717537658,4.37037037,0.4213703704,0.8587688292,0.3814814815,19.66666667,1.896166667,1.716666667,3.864459732,1.035087719,0.09979824561,0.09035087719,0.2033926174,39.33333333,3.792333333,3.433333333,7.728919463,39.33333333,3.792333333,3.433333333,7.728919463
